trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
4c967ba83189dd22,5592,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2187,768.6666666666666
71e68d22feb33e4a,6304,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2551,926.6666666666666
01f772f8115dc9a4,6220,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2587,899.5
444d33cdb7606cd9,6006,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2582,920.8333333333334
0d7cc1bae2832fbf,6564,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2616,1002.8333333333334
66f3698dc3bec23c,6064,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2397,879.0
2b05b5d06391c2b9,6140,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2541,905.0
7a683b947650b450,6411,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2543,974.0
2bf9952fb3d6128b,6379,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2623,967.5
5f0c53002a96aee1,5499,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2057,740.8333333333334
41bd4392c6375e6b,6075,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2145,855.1666666666666
64faa220595b2219,6327,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2599,977.1666666666666
697f33d31d23414d,6213,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2525,936.3333333333334
7d02d2ca01c8eb81,6312,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2564,937.8333333333334
486a02715719af77,5596,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2144,786.0
59c38ac54e070394,5009,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1754,665.0
54b7bd84d560d276,5852,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2771,1029.6666666666667
7898659e99a6780c,5028,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1732,632.1666666666666
12bf88d375b0cbe6,5606,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1963,747.0
32e1c85a7672a379,5078,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1776,633.5
1fca93da6bad64cf,5479,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1796,722.1666666666666
22363450059a25e8,6526,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2604,991.6666666666666
424aeb042696b419,5456,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2036,748.1666666666666
32af7627968219a1,5810,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2174,825.3333333333334
134fdf6b64284cfb,5868,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2233,838.8333333333334
