trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
6fedda3cdfd795a7,6971,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1942,439.93333333333334
1e0ac8168cb4c553,9768,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2203,651.3333333333334
56eebee9aeb0755b,28471,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,20171,1825.4666666666667
6a04ebb7cb1e7d7a,9919,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,2279,674.2666666666667
5455a473fa99b69f,10099,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,2864,648.1333333333333
6923b9bbbbf72f09,7343,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2116,458.6
60b11f05f28c83d6,43336,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,25645,2957.2
0796742baddf8b44,7162,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,2020,454.06666666666666
1bdf35db9229dde9,5926,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,1291,315.6
723967bcb3534d07,7048,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1867,448.2
4044987e14118ef0,10303,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,3362,677.4
714345013ed9d728,57314,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,47673,3867.4666666666667
324c5b627906dbd8,10120,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2392,695.2666666666667
1ee6a7e1cd7906f0,6757,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1644,403.1333333333333
097fec0c8e11f43a,17814,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,8371,1224.8666666666666
44c4394eb2d1a1e1,5937,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1268,321.6
383cb8f230f5adc7,5278,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,1018,245.2
1aca192fa202932e,7454,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2157,493.06666666666666
2c7af5afcd517412,62705,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,57924,4107.8
44d570928be54580,6702,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1755,416.6
4fde32208ad7d1a2,6984,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2000,451.53333333333336
62ce0deeacee337f,10037,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2326,694.5333333333333
365335ef67027107,5662,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,1340,312.2
7f5fe198fe620356,7932,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1930,500.8666666666667
7ae9702ba22a891c,7028,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,2073,449.6666666666667
71f61ce13861e59d,6713,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1941,419.6
36cf186a177cdd18,6569,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1623,393.8666666666667
0786f94b8ad82bd5,10683,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2457,746.1333333333333
630a142c5cd6d808,33670,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,23834,2305.3333333333335
058babbc1c71a1bc,10790,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2856,738.0666666666667
0b5dc299cd19d6cd,7127,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2287,473.8666666666667
4842940ae7a77157,9819,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,2393,683.6
541d6156ec0f239b,7428,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1986,506.06666666666666
