trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
3e932ebdb32fa1ce,13448,22,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3164,1055.0
01e06a764920833d,14084,19,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3387,1053.842105263158
515810939d773256,7475,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3371,518.4666666666667
040fc8b0dc1df80a,9179,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2896,713.7333333333333
7526bd0d8b724ea7,7726,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3271,523.1333333333333
4b22a40096df88e9,8573,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3292,576.7333333333333
0dac29c3bc5263cb,10417,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3165,821.0
05fee824c608b872,6387,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2959,430.46666666666664
353411751e2f0076,9865,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3372,664.2
2cd0f6d9cc61c454,13243,21,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3117,1020.6666666666666
5e580633742d7ef8,11361,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2906,869.9375
6748c035fb21648f,6260,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2701,424.3333333333333
7e065d7333e29304,14361,22,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3286,1096.4545454545455
7efa35ba54541ce1,12017,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3406,948.7333333333333
4a7a2af7bda55eb8,8522,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3330,570.8
5d3107d2675a9ae5,11075,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3141,883.2
561447170e85e317,7566,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2947,499.8666666666667
